ScaleName,vVar,modelCombo,Estimator,N,Group,covPiVi ci.l,covPiVi ci.u,covPiVi est,covPiVi est.bf,covPiVi est.stars,covPiVi pval,covPiVi pVar,covPiVi se,covPiVi se.d,covPsVs ci.l,covPsVs ci.u,covPsVs est,covPsVs est.bf,covPsVs est.stars,covPsVs pval,covPsVs pVar,covPsVs se,covPsVs se.d,covPVwithin ci.l,covPVwithin ci.u,covPVwithin est,covPVwithin est.bf,covPVwithin est.stars,covPVwithin pval,covPVwithin pVar,covPVwithin se,covPVwithin se.d,PtoP ci.l,PtoP ci.u,PtoP est,PtoP est.bf,PtoP est.stars,PtoP pval,PtoP pVar,PtoP se,PtoP se.d,PtoV ci.l,PtoV ci.u,PtoV est,PtoV est.bf,PtoV est.stars,PtoV pval,PtoV pVar,PtoV se,PtoV se.d,rPiVi ci.l,rPiVi ci.u,rPiVi est,rPiVi est.bf,rPiVi est.stars,rPiVi pval,rPiVi pVar,rPiVi se,rPiVi se.d,rPsVs ci.l,rPsVs ci.u,rPsVs est,rPsVs est.bf,rPsVs est.stars,rPsVs pval,rPsVs pVar,rPsVs se,rPsVs se.d,rPVwithin ci.l,rPVwithin ci.u,rPVwithin est,rPVwithin est.bf,rPVwithin est.stars,rPVwithin pval,rPVwithin pVar,rPVwithin se,rPVwithin se.d,VtoP ci.l,VtoP ci.u,VtoP est,VtoP est.bf,VtoP est.stars,VtoP pval,VtoP pVar,VtoP se,VtoP se.d,VtoV ci.l,VtoV ci.u,VtoV est,VtoV est.bf,VtoV est.stars,VtoV pval,VtoV pVar,VtoV se,VtoV se.d
Conscientiousness,aspfin,Linear_Linear,MLR,864,ALL,3.72776,59.85824,31.793,\textbf{31.79},*31.79*,0.026,bfi_c,14.319,14.32,-0.17892,0.22092,0.021,0.02,0.02,0.834,bfi_c,0.102,0.10,-9.1908,7.2928,-0.949,-0.95,-0.95,0.821,bfi_c,4.205,4.21,0.06444,0.30356,0.184,\textbf{0.18ª},*0.18ª*,0.002,bfi_c,0.061,0.06,-0.10248,0.14448,0.021,0.02,0.02,0.745,bfi_c,0.063,0.06,-27.9510901789665,28.1793898210335,0.114149821033543,\textbf{0.11},*0.11*,0.026,bfi_c,14.319,14.32,0.0318731624863827,0.431713162486383,0.231793162486383,0.23,0.23,0.834,bfi_c,0.102,0.10,-8.25212650252573,8.23147349747427,-0.0103265025257309,-0.01,-0.01,0.821,bfi_c,4.205,4.21,-0.07988,0.02988,-0.025,-0.03,-0.03,0.379,bfi_c,0.028,0.03,0.03332,0.26068,0.147,\textbf{0.15},*0.15*,0.012,bfi_c,0.058,0.06
Conscientiousness,aspfin,Linear_Linear,MLR,NA,D2,4.8234,61.1146,32.969,\textbf{32.97},*32.97*,0.022,bfi_c,14.36,14.36,-0.1928,0.2188,0.013,0.01,0.01,0.900,bfi_c,0.105,0.10,-28.61428,2.13028,-13.242,-13.24,-13.24,0.091,bfi_c,7.843,7.84,0.1012,0.4148,0.258,\textbf{0.26ª},*0.26ª*,0.001,bfi_c,0.08,0.08,-0.2338,0.1778,-0.028,-0.03,-0.03,0.787,bfi_c,0.105,0.10,-28.0266394632682,28.2645605367318,0.118960536731803,\textbf{0.12},*0.12*,0.022,bfi_c,14.36,14.36,-0.0739408657857933,0.337659134214207,0.131859134214207,0.13,0.13,0.900,bfi_c,0.105,0.10,-15.4955742840378,15.2489857159622,-0.123294284037803,-0.12,-0.12,0.091,bfi_c,7.843,7.84,-0.15424,0.01824,-0.068,-0.07,-0.07,0.124,bfi_c,0.044,0.04,-0.01516,0.36116,0.173,0.17,0.17,0.072,bfi_c,0.096,0.10
Conscientiousness,aspfin,Linear_Linear,MLR,NA,D3,4.8234,61.1146,32.969,\textbf{32.97},*32.97*,0.022,bfi_c,14.36,14.36,-0.1928,0.2188,0.013,0.01,0.01,0.900,bfi_c,0.105,0.10,-11.5802,16.5262,2.473,2.47,2.47,0.730,bfi_c,7.17,7.17,-0.12216,0.45016,0.164,0.16,0.16,0.261,bfi_c,0.146,0.15,-0.28584,0.21984,-0.033,-0.03,-0.03,0.799,bfi_c,0.129,0.13,-28.0266394632682,28.2645605367318,0.118960536731803,\textbf{0.12},*0.12*,0.022,bfi_c,14.36,14.36,-0.0739408657857933,0.337659134214207,0.131859134214207,0.13,0.13,0.900,bfi_c,0.105,0.10,-14.0248931828721,14.0815068171279,0.028306817127943,0.03,0.03,0.730,bfi_c,7.17,7.17,-0.1428,0.0728,-0.035,-0.04,-0.04,0.525,bfi_c,0.055,0.06,-0.19624,0.46624,0.135,0.14,0.14,0.424,bfi_c,0.169,0.17
Conscientiousness,aspfin,Linear_Linear,MLR,NA,D4,4.8234,61.1146,32.969,\textbf{32.97},*32.97*,0.022,bfi_c,14.36,14.36,-0.1928,0.2188,0.013,0.01,0.01,0.900,bfi_c,0.105,0.10,-0.20556,26.29756,13.046,13.05,13.05,0.054,bfi_c,6.761,6.76,-0.09228,0.37028,0.139,0.14,0.14,0.240,bfi_c,0.118,0.12,-0.05644,0.39044,0.167,0.17,0.17,0.143,bfi_c,0.114,0.11,-28.0266394632682,28.2645605367318,0.118960536731803,\textbf{0.12},*0.12*,0.022,bfi_c,14.36,14.36,-0.0739408657857933,0.337659134214207,0.131859134214207,0.13,0.13,0.900,bfi_c,0.105,0.10,-13.0906373057035,13.4124826942965,0.160922694296512,0.16,0.16,0.054,bfi_c,6.761,6.76,-0.05572,0.16772,0.056,0.06,0.06,0.326,bfi_c,0.057,0.06,-0.01232,0.34832,0.168,0.17,0.17,0.068,bfi_c,0.092,0.09
Conscientiousness,aspfin,Linear_Linear,MLR,NA,D5,4.8234,61.1146,32.969,\textbf{32.97},*32.97*,0.022,bfi_c,14.36,14.36,-0.1928,0.2188,0.013,0.01,0.01,0.900,bfi_c,0.105,0.10,-15.32524,21.00924,2.842,2.84,2.84,0.759,bfi_c,9.269,9.27,-0.25484,0.25084,-0.002,-0.00,-0.00,0.985,bfi_c,0.129,0.13,-0.2244,0.3244,0.05,0.05,0.05,0.720,bfi_c,0.14,0.14,-28.0266394632682,28.2645605367318,0.118960536731803,\textbf{0.12},*0.12*,0.022,bfi_c,14.36,14.36,-0.0739408657857933,0.337659134214207,0.131859134214207,0.13,0.13,0.900,bfi_c,0.105,0.10,-18.1293158927575,18.2051641072425,0.0379241072424823,0.04,0.04,0.759,bfi_c,9.269,9.27,-0.07312,0.11112,0.019,0.02,0.02,0.685,bfi_c,0.047,0.05,-0.17204,0.31404,0.071,0.07,0.07,0.565,bfi_c,0.124,0.12
Conscientiousness,aspfin,Linear_Linear,MLR,NA,EARLIER,5.7586,62.9514,34.355,\textbf{34.35},*34.35*,0.019,bfi_c,14.59,14.59,-0.1948,0.2168,0.011,0.01,0.01,0.915,bfi_c,0.105,0.10,-18.87768,3.79168,-7.543,-7.54,-7.54,0.192,bfi_c,5.783,5.78,0.08004,0.37796,0.229,\textbf{0.23ª},*0.23ª*,0.003,bfi_c,0.076,0.08,-0.21752,0.12352,-0.047,-0.05,-0.05,0.588,bfi_c,0.087,0.09,-28.4718967200157,28.7209032799843,0.124503279984296,\textbf{0.12},*0.12*,0.019,bfi_c,14.59,14.59,-0.0980810345044747,0.313518965495525,0.107718965495525,0.11,0.11,0.915,bfi_c,0.105,0.10,-11.4102167629421,11.2591432370579,-0.0755367629421108,-0.08,-0.08,0.192,bfi_c,5.783,5.78,-0.13652,0.00852,-0.064,-0.06,-0.06,0.081,bfi_c,0.037,0.04,-0.00639999999999999,0.3464,0.17,0.17,0.17,0.058,bfi_c,0.09,0.09
Conscientiousness,aspfin,Linear_Linear,MLR,NA,LATER,5.7586,62.9514,34.355,\textbf{34.35},*34.35*,0.019,bfi_c,14.59,14.59,-0.1948,0.2168,0.011,0.01,0.01,0.915,bfi_c,0.105,0.10,-1.52924,19.81124,9.141,9.14,9.14,0.093,bfi_c,5.444,5.44,-0.08756,0.24956,0.081,0.08,0.08,0.345,bfi_c,0.086,0.09,-0.0504,0.3024,0.126,0.13,0.13,0.161,bfi_c,0.09,0.09,-28.4718967200157,28.7209032799843,0.124503279984296,\textbf{0.12},*0.12*,0.019,bfi_c,14.59,14.59,-0.0980810345044747,0.313518965495525,0.107718965495525,0.11,0.11,0.915,bfi_c,0.105,0.10,-10.5539638973168,10.7865161026832,0.116276102683212,0.12,0.12,0.093,bfi_c,5.444,5.44,-0.0334,0.1234,0.045,0.04,0.04,0.257,bfi_c,0.04,0.04,-0.013,0.281,0.134,0.13,0.13,0.074,bfi_c,0.075,0.07
Conscientiousness,bfa_mt,Linear_Linear,MLR,864,ALL,-46.34864,9.64464,-18.352,-18.35,-18.35,0.199,bfi_c,14.284,14.28,-0.20196,0.19396,-0.004,-0.00,-0.00,0.971,bfi_c,0.101,0.10,-14.44612,1.61412,-6.416,-6.42,-6.42,0.117,bfi_c,4.097,4.10,0.0614,0.2966,0.179,\textbf{0.18ª},*0.18ª*,0.003,bfi_c,0.06,0.06,-0.11088,0.09688,-0.007,-0.01,-0.01,0.902,bfi_c,0.053,0.05,-28.0733085624509,27.9199714375491,-0.0766685624508782,-0.08,-0.08,0.199,bfi_c,14.284,14.28,-0.241876287509106,0.154043712490894,-0.0439162875091059,-0.04,-0.04,0.971,bfi_c,0.101,0.10,-8.10876489185001,7.95147510814999,-0.0786448918500091,-0.08,-0.08,0.117,bfi_c,4.097,4.10,-0.07764,0.05564,-0.011,-0.01,-0.01,0.734,bfi_c,0.034,0.03,0.04836,0.27964,0.164,\textbf{0.16},*0.16*,0.005,bfi_c,0.059,0.06
Conscientiousness,bfa_mt,Linear_Linear,MLR,NA,D2,-45.91172,11.93572,-16.988,-16.99,-16.99,0.250,bfi_c,14.757,14.76,-0.23064,0.19664,-0.017,-0.02,-0.02,0.879,bfi_c,0.109,0.11,-28.93824,2.98624,-12.976,-12.98,-12.98,0.111,bfi_c,8.144,8.14,0.08624,0.40376,0.245,\textbf{0.24ª},*0.24ª*,0.002,bfi_c,0.081,0.08,-0.18584,0.22184,0.018,0.02,0.02,0.866,bfi_c,0.104,0.10,-28.9945903532136,28.8528496467864,-0.0708703532135867,-0.07,-0.07,0.250,bfi_c,14.757,14.76,-0.410649607349814,0.016630392650186,-0.197009607349814,-0.20,-0.20,0.879,bfi_c,0.109,0.11,-16.0981146765121,15.8263653234879,-0.135874676512115,-0.14,-0.14,0.111,bfi_c,8.144,8.14,-0.15076,0.06876,-0.041,-0.04,-0.04,0.465,bfi_c,0.056,0.06,0.01324,0.52676,0.27,\textbf{0.27},*0.27*,0.039,bfi_c,0.131,0.13
Conscientiousness,bfa_mt,Linear_Linear,MLR,NA,D3,-45.91172,11.93572,-16.988,-16.99,-16.99,0.250,bfi_c,14.757,14.76,-0.23064,0.19664,-0.017,-0.02,-0.02,0.879,bfi_c,0.109,0.11,-14.9978,4.1318,-5.433,-5.43,-5.43,0.266,bfi_c,4.88,4.88,-0.12912,0.44712,0.159,0.16,0.16,0.278,bfi_c,0.147,0.15,-0.20872,0.11272,-0.048,-0.05,-0.05,0.560,bfi_c,0.082,0.08,-28.9945903532136,28.8528496467864,-0.0708703532135867,-0.07,-0.07,0.250,bfi_c,14.757,14.76,-0.410649607349814,0.016630392650186,-0.197009607349814,-0.20,-0.20,0.879,bfi_c,0.109,0.11,-9.64117801964023,9.48842198035977,-0.0763780196402293,-0.08,-0.08,0.266,bfi_c,4.88,4.88,-0.09064,0.14064,0.025,0.03,0.03,0.671,bfi_c,0.059,0.06,-0.0262,0.2482,0.111,0.11,0.11,0.114,bfi_c,0.07,0.07
